Date,Open,High,Low,Close,Adj Close,Volume
2019-10-17,20.750000,20.910000,19.860001,20.760000,20.760000,6977400
2019-10-18,20.870001,20.889999,19.610001,20.209999,20.209999,5133600
2019-10-21,20.250000,20.570000,19.719999,20.350000,20.350000,3839700
2019-10-22,20.250000,21.180000,20.040001,21.150000,21.150000,3760700
2019-10-23,21.010000,21.896000,20.719999,21.750000,21.750000,3947300
2019-10-24,21.750000,22.025000,21.350000,21.660000,21.660000,3095100
2019-10-25,21.540001,22.309999,21.320000,21.920000,21.920000,3254700
2019-10-28,22.049999,22.480000,21.620001,21.639999,21.639999,3041700
2019-10-29,21.350000,21.400000,20.549999,20.570000,20.570000,3226000
2019-10-30,20.520000,20.879999,20.049999,20.160000,20.160000,2653300
2019-10-31,20.049999,20.090000,19.420000,19.959999,19.959999,3774500
2019-11-01,19.680000,20.180000,19.520000,19.709999,19.709999,3441700
2019-11-04,19.709999,20.332001,19.530001,20.150000,20.150000,3995200
2019-11-05,20.200001,20.510000,19.840000,19.860001,19.860001,3482300
2019-11-06,19.750000,20.200001,19.360001,19.420000,19.420000,3575700
2019-11-07,19.780001,19.930000,19.020000,19.080000,19.080000,3724800
2019-11-08,19.010000,21.680000,18.889999,21.459999,21.459999,10908700
2019-11-11,21.030001,21.200001,20.122999,20.299999,20.299999,8241800
2019-11-12,20.240000,20.559999,19.052999,19.250000,19.250000,7556800
2019-11-13,19.110001,19.379999,18.410000,18.500000,18.500000,7356200
2019-11-14,16.400000,16.620001,15.190000,15.840000,15.840000,24356800
2019-11-15,15.250000,15.860000,15.210000,15.330000,15.330000,8331200
2019-11-18,15.150000,15.200000,14.180000,14.220000,14.220000,12874600
2019-11-19,13.810000,15.580000,13.810000,15.320000,15.320000,10343700
2019-11-20,16.129999,18.410000,15.980000,17.639999,17.639999,23774500
2019-11-21,19.330000,21.555000,18.540001,20.290001,20.290001,38350000
2019-11-22,19.600000,19.750000,18.030001,18.410000,18.410000,16018100
2019-11-25,19.150000,19.750000,18.150000,18.450001,18.450001,10333700
2019-11-26,18.000000,19.049999,17.620001,18.110001,18.110001,9435800
2019-11-27,18.350000,18.850000,18.059999,18.809999,18.809999,7300800
2019-11-29,19.180000,19.209999,18.340000,18.590000,18.590000,4212700
2019-12-02,18.309999,18.559999,17.770000,18.139999,18.139999,4860100
2019-12-03,17.620001,19.049999,17.610001,18.980000,18.980000,7499800
